,Christiano Ronaldo,Selena Gomez,Ariana Grande,Dwayne Johnson,Kim Kardashian West,Kylie Jenner,Beyonce,Taylor Swift,Neymar,Lionel Messi,Kendall Jenner,Justin Bieber,Nicki Minaj,Khloe Kardashian,Rihanna,Kourtney Kardashian,Miley Cyrus,Snoop Dogg,Barack Obama,Zooey Deschanel,Harry Styles,Katy Perry,Rob Kardashian,Wiz Khalifa,Chris Brown,Lauren Conrad,Demi Lovato,Trey Songz,Kevin Hart,LeBron James
Apr-12,0,1433288,200000,0,1475188,850796,0,1316658,0,0,974489,1499794,0,0,774349,380000,0,599506,601492,618702,370000,0,502519,498666,474556,427538,0,427203,0,0
May-12,0,1584989,600000,0,1932623,980546,0,1564467,0,0,1176789,1673455,0,0,934646,490000,0,680394,678934,715607,536007,0,636655,565480,587476,498434,0,495627,0,0
Jun-12,0,1903233,932765,0,2476123,1270296,0,1812276,0,0,1479089,1997116,0,0,1194943,680000,0,801282,786376,812512,702014,0,779791,632294,700396,569330,0,564051,0,0
Jul-12,0,2003892,1093876,0,2899392,1540046,0,2060085,0,0,1781389,2320777,0,0,1535240,955000,0,932170,893818,909417,868021,0,952927,699108,843316,640226,0,632475,0,0
Aug-12,100000,2198393,1235474,0,3248932,1869796,0,2307894,0,0,2183689,2564438,0,100000,1915537,1207650,150000,1043058,1081260,1006322,1024028,0,1126063,765922,988236,711122,0,700899,0,90000
Sep-12,300000,2478766,1309024,0,3673040,2223420,0,2476185,0,0,2520887,2784682,0,500000,2193273,1431858,400000,1126046,1251611,1105372,1160487,0,1205312,832736,1179624,782018,0,769323,0,260000
Oct-12,500000,2759139,1633532,200000,4097148,2487044,0,2664476,0,8624,2858085,3104926,350000,900000,2491009,1723849,650000,1209034,1421962,1204422,1358660,450000,1347152,899550,1391012,852914,0,837747,340000,430000
Nov-12,600000,3039512,1958040,350000,4521256,2750668,453981,2852767,0,168621,3195283,3425170,500000,1450000,2788745,2015840,900000,1292022,1592313,1303472,1556833,600000,1488992,966364,1602400,923810,240000,906171,550000,700000
Dec-12,700000,3319885,2282548,400000,5545364,3014292,927398,3141058,0,328618,3532481,3795414,650000,2000000,3186481,2307831,1250000,1395010,1762664,1402522,1755006,750000,1630832,1033178,1813788,994706,490000,974595,760000,970000
Jan-13,800000,3600258,2607056,450000,6369472,3277916,1400815,3429349,0,488615,3869679,4365658,850000,2650000,3584217,2629822,1400000,1497998,1933015,1501572,2053179,970000,1772672,1099992,2025176,1065602,740000,1043019,970000,1260000
Feb-13,900000,3880631,2931564,500000,6793580,3541540,1874232,3757640,221479,648612,4206877,4835902,1050000,3400000,4161953,3011813,1750000,1600986,2103366,1600622,2351352,1090000,1914512,1166806,2236564,1166498,990000,1111443,1220000,1550000
Mar-13,1000000,4161004,3256072,550000,7217688,3805164,2347649,4085931,520202,808609,4544075,5506146,1280000,4150000,4789689,3393804,2250000,1703974,2273717,1699672,2649525,1230000,2056352,1233620,2447952,1267394,1240000,1179867,1470000,1840000
Apr-13,1100000,4441377,3580580,600000,7641796,4068788,2821066,4474222,818925,968606,4881273,6346390,1510000,4900000,5457425,3775795,2750000,1806962,2444068,1798722,2947698,1370000,2198192,1300434,2659340,1398290,1490000,1248291,1820000,2150000
May-13,1200000,4721750,3905088,690000,8065904,4332412,3294483,4872513,1117648,1128603,5218471,7286634,1740000,5620000,6295161,4157786,3370000,1909950,2614419,1897772,3245871,1590000,2340032,1367248,2870728,1529186,1740000,1316715,2170000,2480000
Jun-13,1250000,5002123,4229596,780000,8490012,4596036,3967900,5270804,1416371,1288600,5545669,8277178,1970000,6340000,7132897,4525777,3990000,2012938,2784770,1996822,3524044,1730000,2481872,1434062,3082116,1660082,1990000,1385139,2520000,2810000
Jul-13,1300000,5282496,4349873,870000,8995565,4937150,4691317,5620763,1715094,1448597,5721519,9456063,2230000,6580000,7970633,4853012,4810000,2115926,2955121,2095872,3777752,1930000,2623712,1580876,3293504,1790978,2240000,1453563,2870000,3102003
Aug-13,1500000,5562869,4780577,960000,9501118,5278264,5414734,5970722,2013817,1608594,5997369,10534948,2490000,6950000,8526063,5180247,5830000,2218914,3125472,2194922,4061460,2154969,2765552,1727690,3504892,1921874,2490000,1521987,3220000,3419337
Sep-13,1800000,5843242,5511281,1050000,10006671,5619378,6238151,6320681,2312540,1768591,6273219,11613833,2750000,7280000,9081493,5507482,6850000,2321902,3295823,2293972,4345168,2374626,2907392,1874504,3716280,2052770,2740000,1590411,3570000,3730338
Oct-13,2300000,6123615,6141985,1360000,10512224,5960492,7061568,6670640,2611263,1928588,6749069,12692718,3010000,7590000,9636923,5834717,7870000,2424890,3466174,2393022,4668876,2684283,3049232,2021318,3927668,2183666,2990000,1658835,3920000,4041340
Nov-13,2600000,6403988,6872689,1670000,11017777,6301606,7884985,7020599,2909986,2088585,7224919,13364554,3270000,7860000,10192353,6161952,8670000,2527878,3636525,2492072,4992584,2993940,3191072,2168132,4139056,2314562,3240000,1727259,4270000,4352341
Dec-13,2900000,6684361,7476756,1980000,11523330,6642720,8708402,7370558,3208709,2248582,7600769,14036390,3530000,8110000,10747783,6489187,9130000,2630866,3806876,2591122,5366292,3303597,3332912,2365946,4350444,2445458,3490000,1795683,4620000,4663343
Jan-14,3400000,6964734,8138770,2290000,12028883,6983834,9531819,7720517,3507432,2408579,7976619,14408226,3899000,8290000,11303213,6640000,9490000,2733854,3977227,2690172,5740000,3613254,3474752,2563760,4561832,2576354,3740000,1864107,4970000,4974345
Feb-14,3800000,7245107,8631446,2600000,12534436,7324948,10295236,8070476,3806155,2568576,8352469,14780062,4260000,8470000,11858643,6880000,9830000,2836842,4147578,2789222,6113708,3922911,3616592,2761574,4773220,2707250,3990000,1932531,5320000,5285347
Mar-14,4000000,7525480,9174424,2976355,13039989,7666062,11078653,8420435,4104878,2728573,8728319,15151898,4590000,8650000,12294073,7120000,10140000,2939830,4317929,2888272,6430000,4232568,3758432,2789594,4984608,2838146,4240000,2000955,5670000,5596349
Apr-14,4260000,7820000,9480000,3161338,13800000,8040000,11330000,8740000,4403601,2888570,9370000,15765934,4920000,8830000,12550000,7360000,10450000,3042818,4488280,2987322,6910000,4542225,3900272,2884132,5195996,2969042,4510000,2010000,5927396,5907351
May-14,4640000,8260000,9930000,3367200,14040000,8300000,11770000,8980000,4702324,3048567,9590000,16715934,5250000,9010000,12880000,7600000,10760000,3145806,4658631,3086372,7070000,4851882,4042112,2978670,5467384,3060000,4810000,2010000,6105041,6218353
Jun-14,5260000,8840000,10700000,3577497,14900000,9050000,12660000,9270000,5152179,3242079,10300000,17665934,5710000,9570000,12889990,7870000,10820000,3248794,4828982,3185422,7350000,5260633,4183952,3073208,5738772,3110000,5020000,2010000,6413786,6529355
Jul-14,6030000,10390000,11420000,3854325,15740000,9730000,13250000,9670000,7299412,4081673,10910000,18615934,6110000,10200000,12899980,8270000,10800000,3351782,4999333,3284472,7560000,5694796,4325792,3182695,6010160,3210000,5340000,2010000,6828636,6840357
Aug-14,7160000,11930000,13600000,4404625,16770000,10410000,14640000,10060000,10045584,5502751,11670000,19565934,6780000,11220000,12909970,9100000,10890000,3454770,5169684,3383522,7950000,6408493,4325792,3299213,6281548,3310000,5790000,2010000,7309284,7151359
Sep-14,7960000,13760000,15130000,4949817,18140000,11650000,16430000,10900000,10961462,6608685,12990000,20515934,8110000,12390000,12919960,10060000,12350000,3557758,5340035,3482572,8420000,7450115,4325792,3489213,6552936,3440000,6540000,2010000,7976371,7462361
Oct-14,8590000,15140000,16990000,5220630,19300000,12650000,18250000,11680000,11489213,7152891,14150000,21017873,9420000,13240000,12929950,10860000,13030000,3660746,5510386,3581622,8890000,8388505,4325792,3679213,6824324,3650000,7130000,2010000,8508033,7773363
Nov-14,9260000,16870000,18550000,5657389,20550000,13510000,19540000,12830000,12240765,7777177,15090000,21087873,10290000,14100000,12940000,11590000,13320000,3727120,5680737,3680672,9320000,9262501,4325792,3869213,7095712,3730000,7990000,2010000,9042554,8084365
Dec-14,9920000,18500000,20470000,6078582,22770000,15030000,21280000,14760000,12953092,8219180,16460000,21544303,11600000,15410000,13990000,12570000,13760000,3727120,5851088,3340000,9920000,10323000,4325792,4059213,7367100,3850000,8960000,2010000,9801582,8395367
Jan-15,10310000,19630000,21690000,6261472,23140000,15490000,22480000,17170000,13392920,8646876,16880000,22108673,12910000,15810000,13690000,13120000,13800000,4301000,6021439,3340000,9740000,11820000,4325792,4249213,7638488,3750000,9740000,2010000,10079416,8706369
Feb-15,11790000,22560000,24360000,6736021,25350000,17400000,25290000,20680000,14821819,9790968,18600000,22280853,15110000,17240000,14640000,14200000,15360000,4301000,6191790,3340000,10280000,13870517,4325792,4439213,7909876,3750000,11030000,2010000,10949000,9017371
Mar-15,12890000,24290000,26070000,7574434,27240000,18400000,27190000,23060000,15862350,10544380,20350000,25273636,16540000,18300000,15740000,14660000,16420000,4301000,6362141,3340000,10540000,15251440,4325792,4629213,8181264,3750000,11720000,2010000,12018679,9328373
Apr-15,14580000,26330000,27800000,8871749,28950000,19720000,29020000,25670000,17588373,11854631,22540000,26178787,18270000,19220000,16550000,15300000,17120000,4301000,6532492,3340000,10830000,16415447,4325792,4819213,8452652,3750000,12400000,2010000,13089804,9639375
May-15,16400000,29140000,30440000,12117624,31170000,22180000,31220000,28760000,19726803,13693282,24920000,28128787,20810000,20960000,17920000,16410000,18690000,4301000,6702843,3340000,11040000,18080000,4325792,5009213,8720000,3750000,14020000,2010000,14573176,9950377
Jun-15,19690000,32930000,33740000,15130786,34670000,25050000,34820000,32200000,22881840,16299053,27570000,30078787,24140000,23460000,19950000,18090000,21190000,4301000,6873194,3340000,11380000,21132173,4325792,5199213,8987348,3750000,16180000,2010000,15832041,10261379
Jul-15,22580000,35770000,36540000,18959950,37780000,27650000,38390000,35800000,26419175,19673513,30120000,32028787,27340000,25770000,21650000,19520000,23330000,4301000,7043545,3340000,11730000,23074146,4325792,5389213,9254696,3750000,18010000,2010000,17301000,10572381
Aug-15,25270000,38990000,39420000,22649074,40950000,30777000,41950000,40290000,28760728,21949375,33150000,33978787,30050000,28370000,23520000,21440000,25540000,4301000,7213896,3340000,12120000,24966000,4325792,5579213,9522044,4750000,19950000,2010000,19448704,10883383
Sep-15,28660000,42440000,42340000,25794989,44930000,34320000,44590000,44690000,30622284,23717903,35900000,35676495,32900000,31040000,25150000,23500000,27890000,7301000,7384247,3340000,12450000,26779725,4325792,5769213,9789392,4750000,21910000,2010000,21420000,11194385
